occupation_title;occupation_code;soc_major_code;occupation_group;employment_2024;employment_2034;emp_change_pct;median_wage_2024;education_required;education_level;automation_risk_score;ai_risk_category;collar_type;growth_category;PosEmpChange
"Human resources assistants, except payroll and timekeeping";43-4161;43;"Office and administrative support occupations";95.2;88.4;-7.1;49440;"Associate's degree";5;9;High;"White-collar";"Declining";FALSE
"Receptionists and information clerks";43-4171;43;"Office and administrative support occupations";1007.2;1007.6;0;37230;"High school diploma or equivalent";2;9;High;"White-collar";Stable;"TRUE"
"Reservation and transportation ticket agents and travel clerks";43-4181;43;"Office and administrative support occupations";131.9;135.6;2.8;41460;"High school diploma or equivalent";2;9;High;"White-collar";Stable;"TRUE"
"Information and record clerks, all other";43-4199;43;"Office and administrative support occupations";153.3;153;-0.2;48360;"High school diploma or equivalent";2;9;High;"White-collar";Stable;FALSE
"Cargo and freight agents";43-5011;43;"Office and administrative support occupations";100.6;109.2;8.5;49900;"High school diploma or equivalent";2;9;High;"White-collar";"Growing";"TRUE"
"Couriers and messengers";43-5021;43;"Office and administrative support occupations";247.2;267.6;8.2;38340;"High school diploma or equivalent";2;9;High;"White-collar";"Growing";"TRUE"
"Public safety telecommunicators";43-5031;43;"Office and administrative support occupations";105.2;108.9;3.5;50730;"High school diploma or equivalent";2;9;High;"White-collar";Stable;"TRUE"
"Dispatchers, except police, fire, and ambulance";43-5032;43;"Office and administrative support occupations";218.7;216.7;-0.9;48880;"High school diploma or equivalent";2;9;High;"White-collar";Stable;FALSE
"Meter readers, utilities";43-5041;43;"Office and administrative support occupations";20.1;17.7;-12;49180;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Postal service clerks";43-5051;43;"Office and administrative support occupations";74.2;71.6;-3.5;61630;"No formal educational credential";1;9;High;"White-collar";Stable;FALSE
"Postal service mail carriers";43-5052;43;"Office and administrative support occupations";319.4;308.1;-3.5;57490;"No formal educational credential";1;9;High;"White-collar";Stable;FALSE
"Postal service mail sorters, processors, and processing machine operators";43-5053;43;"Office and administrative support occupations";106.4;97.5;-8.4;56530;"No formal educational credential";1;9;High;"White-collar";"Declining";FALSE
"Production, planning, and expediting clerks";43-5061;43;"Office and administrative support occupations";388.8;381.7;-1.8;57770;"High school diploma or equivalent";2;9;High;"White-collar";Stable;FALSE
"Shipping, receiving, and inventory clerks";43-5071;43;"Office and administrative support occupations";862.2;795.8;-7.7;43190;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Weighers, measurers, checkers, and samplers, recordkeeping";43-5111;43;"Office and administrative support occupations";49.8;47.4;-4.8;45650;"High school diploma or equivalent";2;9;High;"White-collar";Stable;FALSE
"Executive secretaries and executive administrative assistants";43-6011;43;"Office and administrative support occupations";502.8;494.9;-1.6;74260;"High school diploma or equivalent";2;9;High;"White-collar";Stable;FALSE
"Legal secretaries and administrative assistants";43-6012;43;"Office and administrative support occupations";156.3;147.3;-5.8;54140;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Medical secretaries and administrative assistants";43-6013;43;"Office and administrative support occupations";850;885.3;4.2;44640;"High school diploma or equivalent";2;9;High;"White-collar";Stable;"TRUE"
"Secretaries and administrative assistants, except legal, medical, and executive";43-6014;43;"Office and administrative support occupations";1944;1913.2;-1.6;46290;"High school diploma or equivalent";2;9;High;"White-collar";Stable;FALSE
"Data entry keyers";43-9021;43;"Office and administrative support occupations";141.6;104.9;-25.9;39850;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Word processors and typists";43-9022;43;"Office and administrative support occupations";40;25.6;-36.1;47850;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Desktop publishers";43-9031;43;"Office and administrative support occupations";5;4.4;-12.4;53620;"Associate's degree";5;9;High;"White-collar";"Declining";FALSE
"Insurance claims and policy processing clerks";43-9041;43;"Office and administrative support occupations";256.7;247.2;-3.7;48450;"High school diploma or equivalent";2;9;High;"White-collar";Stable;FALSE
"Mail clerks and mail machine operators, except postal service";43-9051;43;"Office and administrative support occupations";67.4;62.9;-6.6;38150;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Office clerks, general";43-9061;43;"Office and administrative support occupations";2646;2468.2;-6.7;43630;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Office machine operators, except computer";43-9071;43;"Office and administrative support occupations";25.5;21.6;-15.2;39020;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"Proofreaders and copy markers";43-9081;43;"Office and administrative support occupations";12;11.9;-0.6;49210;"Bachelor's degree";6;9;High;"White-collar";Stable;FALSE
"Statistical assistants";43-9111;43;"Office and administrative support occupations";6.5;6.3;-2.5;51440;"Bachelor's degree";6;9;High;"White-collar";Stable;FALSE
"Office and administrative support workers, all other";43-9199;43;"Office and administrative support occupations";232.9;214.8;-7.8;46040;"High school diploma or equivalent";2;9;High;"White-collar";"Declining";FALSE
"First-line supervisors of farming, fishing, and forestry workers";45-1011;45;"Farming, fishing, and forestry occupations";65.4;67;2.5;59330;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Agricultural inspectors";45-2011;45;"Farming, fishing, and forestry occupations";14.7;14.9;1.5;50990;"Bachelor's degree";6;2;Low;"Blue-collar";Stable;"TRUE"
"Animal breeders";45-2021;45;"Farming, fishing, and forestry occupations";7.9;8.1;2.4;52000;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Graders and sorters, agricultural products";45-2041;45;"Farming, fishing, and forestry occupations";38.9;36.8;-5.4;35430;"No formal educational credential";1;2;Low;"Blue-collar";"Declining";FALSE
"Agricultural equipment operators";45-2091;45;"Farming, fishing, and forestry occupations";65.2;70.3;7.7;42580;"No formal educational credential";1;2;Low;"Blue-collar";"Growing";"TRUE"
"Farmworkers and laborers, crop, nursery, and greenhouse";45-2092;45;"Farming, fishing, and forestry occupations";504.8;488.1;-3.3;35690;"No formal educational credential";1;2;Low;"Blue-collar";Stable;FALSE
"Farmworkers, farm, ranch, and aquacultural animals";45-2093;45;"Farming, fishing, and forestry occupations";224.6;213.4;-5;36150;"No formal educational credential";1;2;Low;"Blue-collar";"Declining";FALSE
"Agricultural workers, all other";45-2099;45;"Farming, fishing, and forestry occupations";10.1;10.3;2.3;40390;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Fishing and hunting workers";45-3031;45;"Farming, fishing, and forestry occupations";21.9;20.9;-4.6;;"No formal educational credential";1;2;Low;"Blue-collar";Stable;FALSE
"Forest and conservation workers";45-4011;45;"Farming, fishing, and forestry occupations";10.8;10.3;-4.7;43680;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"Fallers";45-4021;45;"Farming, fishing, and forestry occupations";5.6;5.2;-7.3;53900;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Declining";FALSE
"Logging equipment operators";45-4022;45;"Farming, fishing, and forestry occupations";30.9;30.5;-1.4;49210;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"Log graders and scalers";45-4023;45;"Farming, fishing, and forestry occupations";4.6;4.6;-0.7;46710;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"Logging workers, all other";45-4029;45;"Farming, fishing, and forestry occupations";3.1;3;-4.7;52000;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"First-line supervisors of construction trades and extraction workers";47-1011;47;"Construction and extraction occupations";921.6;970.6;5.3;78690;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Boilermakers";47-2011;47;"Construction and extraction occupations";10.4;10.1;-2.4;73340;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"Brickmasons and blockmasons";47-2021;47;"Construction and extraction occupations";74.1;76.4;3.2;60800;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Stonemasons";47-2022;47;"Construction and extraction occupations";12.1;11.8;-3;51990;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"Carpenters";47-2031;47;"Construction and extraction occupations";959;1002.1;4.5;59310;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Carpet installers";47-2041;47;"Construction and extraction occupations";20.3;18.3;-9.6;49850;"No formal educational credential";1;2;Low;"Blue-collar";"Declining";FALSE
"Floor layers, except carpet, wood, and hard tiles";47-2042;47;"Construction and extraction occupations";33.7;36.9;9.5;54340;"No formal educational credential";1;2;Low;"Blue-collar";"Growing";"TRUE"
"Floor sanders and finishers";47-2043;47;"Construction and extraction occupations";5.6;5.8;2.6;49150;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Tile and stone setters";47-2044;47;"Construction and extraction occupations";52.6;58;10.1;52240;"No formal educational credential";1;2;Low;"Blue-collar";"Growing";"TRUE"
"Cement masons and concrete finishers";47-2051;47;"Construction and extraction occupations";206.7;210.4;1.8;54660;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Terrazzo workers and finishers";47-2053;47;"Construction and extraction occupations";1.5;1.3;-11.1;57260;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Declining";FALSE
"Construction laborers";47-2061;47;"Construction and extraction occupations";1457;1563.4;7.3;46730;"No formal educational credential";1;2;Low;"Blue-collar";"Growing";"TRUE"
"Paving, surfacing, and tamping equipment operators";47-2071;47;"Construction and extraction occupations";47;48.6;3.2;51650;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Pile driver operators";47-2072;47;"Construction and extraction occupations";3.2;3.3;4.3;70510;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Operating engineers and other construction equipment operators";47-2073;47;"Construction and extraction occupations";489.3;507.1;3.6;58710;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Drywall and ceiling tile installers";47-2081;47;"Construction and extraction occupations";103.1;107.4;4.2;58140;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Tapers";47-2082;47;"Construction and extraction occupations";15.6;15.6;0.1;64700;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Electricians";47-2111;47;"Construction and extraction occupations";818.7;896.1;9.5;62350;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Glaziers";47-2121;47;"Construction and extraction occupations";60.5;62.5;3.3;55440;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Insulation workers, floor, ceiling, and wall";47-2131;47;"Construction and extraction occupations";40.2;41.7;3.8;48680;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Insulation workers, mechanical";47-2132;47;"Construction and extraction occupations";27.2;28.5;4.7;57250;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Painters, construction and maintenance";47-2141;47;"Construction and extraction occupations";342.2;355.2;3.8;48660;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Paperhangers";47-2142;47;"Construction and extraction occupations";2.3;2.5;5.3;48260;"No formal educational credential";1;2;Low;"Blue-collar";"Growing";"TRUE"
"Pipelayers";47-2151;47;"Construction and extraction occupations";34.4;32.9;-4.1;48710;"No formal educational credential";1;2;Low;"Blue-collar";Stable;FALSE
"Plumbers, pipefitters, and steamfitters";47-2152;47;"Construction and extraction occupations";504.5;527.2;4.5;62970;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Plasterers and stucco masons";47-2161;47;"Construction and extraction occupations";24.2;25.2;4.1;56020;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Reinforcing iron and rebar workers";47-2171;47;"Construction and extraction occupations";19.4;20.3;4.6;59280;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Roofers";47-2181;47;"Construction and extraction occupations";166.7;176.5;5.9;50970;"No formal educational credential";1;2;Low;"Blue-collar";"Growing";"TRUE"
"Sheet metal workers";47-2211;47;"Construction and extraction occupations";127;130.1;2.4;60850;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Structural iron and steel workers";47-2221;47;"Construction and extraction occupations";65.7;68.6;4.4;62700;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Solar photovoltaic installers";47-2231;47;"Construction and extraction occupations";28.6;40.6;42.1;51860;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters";47-3011;47;"Construction and extraction occupations";16.1;14.4;-10.5;46480;"No formal educational credential";1;2;Low;"Blue-collar";"Declining";FALSE
"Helpers--carpenters";47-3012;47;"Construction and extraction occupations";25.2;26.4;4.5;41600;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Helpers--electricians";47-3013;47;"Construction and extraction occupations";66.6;66.7;0.2;39890;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Helpers--painters, paperhangers, plasterers, and stucco masons";47-3014;47;"Construction and extraction occupations";7.4;7.6;2.3;38140;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters";47-3015;47;"Construction and extraction occupations";45.3;47.5;4.9;39270;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Helpers--roofers";47-3016;47;"Construction and extraction occupations";5.2;5.5;5.7;40590;"No formal educational credential";1;2;Low;"Blue-collar";"Growing";"TRUE"
"Helpers, construction trades, all other";47-3019;47;"Construction and extraction occupations";26.3;27.4;4.4;40760;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Construction and building inspectors";47-4011;47;"Construction and extraction occupations";147.6;146.5;-0.8;72120;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"Elevator and escalator installers and repairers";47-4021;47;"Construction and extraction occupations";24.2;25.4;5;106580;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Fence erectors";47-4031;47;"Construction and extraction occupations";26.4;27.6;4.6;46940;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Hazardous materials removal workers";47-4041;47;"Construction and extraction occupations";51.3;51.8;1;48490;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Highway maintenance workers";47-4051;47;"Construction and extraction occupations";159.1;163.9;3;49070;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Rail-track laying and maintenance equipment operators";47-4061;47;"Construction and extraction occupations";15;15.3;1.6;67370;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Septic tank servicers and sewer pipe cleaners";47-4071;47;"Construction and extraction occupations";30.4;32.7;7.6;49140;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Miscellaneous construction and related workers";47-4090;47;"Construction and extraction occupations";35;36.2;3.5;48120;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Derrick operators, oil and gas";47-5011;47;"Construction and extraction occupations";11.3;11.3;0.5;62740;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Rotary drill operators, oil and gas";47-5012;47;"Construction and extraction occupations";13.3;13.4;0.2;65010;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Service unit operators, oil and gas";47-5013;47;"Construction and extraction occupations";45.2;45.4;0.4;57980;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Excavating and loading machine and dragline operators, surface mining";47-5022;47;"Construction and extraction occupations";35.8;35.6;-0.4;52550;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"Earth drillers, except oil and gas";47-5023;47;"Construction and extraction occupations";18.3;18.8;2.9;59600;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Explosives workers, ordnance handling experts, and blasters";47-5032;47;"Construction and extraction occupations";5.8;5.8;-0.9;59110;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"Continuous mining machine operators";47-5041;47;"Construction and extraction occupations";14.9;15;0.6;63380;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Roof bolters, mining";47-5043;47;"Construction and extraction occupations";2.3;1.5;-34.2;76640;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Declining";FALSE
"Loading and moving machine operators, underground mining";47-5044;47;"Construction and extraction occupations";6.4;5;-22.3;68860;"No formal educational credential";1;2;Low;"Blue-collar";"Declining";FALSE
"Underground mining machine operators, all other";47-5049;47;"Construction and extraction occupations";3.6;3.4;-6.1;67220;"No formal educational credential";1;2;Low;"Blue-collar";"Declining";FALSE
"Rock splitters, quarry";47-5051;47;"Construction and extraction occupations";3.2;3.4;4.4;47460;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Roustabouts, oil and gas";47-5071;47;"Construction and extraction occupations";46;47.1;2.5;47510;"No formal educational credential";1;2;Low;"Blue-collar";Stable;"TRUE"
"Helpers--extraction workers";47-5081;47;"Construction and extraction occupations";7;6.9;-1.7;48400;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"Extraction workers, all other";47-5099;47;"Construction and extraction occupations";6.3;6.4;1.4;50110;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"First-line supervisors of mechanics, installers, and repairers";49-1011;49;"Installation, maintenance, and repair occupations";617.5;636.5;3.1;78300;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Computer, automated teller, and office machine repairers";49-2011;49;"Installation, maintenance, and repair occupations";79.1;78.4;-0.9;46860;"Some college, no degree";3;2;Low;"Blue-collar";Stable;FALSE
"Radio, cellular, and tower equipment installers and repairers";49-2021;49;"Installation, maintenance, and repair occupations";11.7;12.7;8.6;64190;"Associate's degree";5;2;Low;"Blue-collar";"Growing";"TRUE"
"Telecommunications equipment installers and repairers, except line installers";49-2022;49;"Installation, maintenance, and repair occupations";156.9;150.4;-4.2;62630;"Postsecondary nondegree award";4;2;Low;"Blue-collar";Stable;FALSE
"Avionics technicians";49-2091;49;"Installation, maintenance, and repair occupations";21.4;23.1;8.2;81390;"Postsecondary nondegree award";4;2;Low;"Blue-collar";"Growing";"TRUE"
"Electric motor, power tool, and related repairers";49-2092;49;"Installation, maintenance, and repair occupations";17.1;17.7;3.4;53990;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Electrical and electronics installers and repairers, transportation equipment";49-2093;49;"Installation, maintenance, and repair occupations";7;7.4;6.1;82730;"Postsecondary nondegree award";4;2;Low;"Blue-collar";"Growing";"TRUE"
"Electrical and electronics repairers, commercial and industrial equipment";49-2094;49;"Installation, maintenance, and repair occupations";61.1;60.7;-0.8;71300;"Postsecondary nondegree award";4;2;Low;"Blue-collar";Stable;FALSE
"Electrical and electronics repairers, powerhouse, substation, and relay";49-2095;49;"Installation, maintenance, and repair occupations";23.4;24.7;5.5;100940;"Postsecondary nondegree award";4;2;Low;"Blue-collar";"Growing";"TRUE"
"Electronic equipment installers and repairers, motor vehicles";49-2096;49;"Installation, maintenance, and repair occupations";10.3;8.9;-13.6;47940;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Declining";FALSE
"Audiovisual equipment installers and repairers";49-2097;49;"Installation, maintenance, and repair occupations";24.6;26.3;6.6;50620;"Postsecondary nondegree award";4;2;Low;"Blue-collar";"Growing";"TRUE"
"Security and fire alarm systems installers";49-2098;49;"Installation, maintenance, and repair occupations";85.9;94.9;10.4;59300;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Aircraft mechanics and service technicians";49-3011;49;"Installation, maintenance, and repair occupations";139.4;145;4;78680;"Postsecondary nondegree award";4;2;Low;"Blue-collar";Stable;"TRUE"
"Automotive body and related repairers";49-3021;49;"Installation, maintenance, and repair occupations";172.6;175.4;1.6;51680;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Automotive glass installers and repairers";49-3022;49;"Installation, maintenance, and repair occupations";20.4;21.1;3.6;47260;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Automotive service technicians and mechanics";49-3023;49;"Installation, maintenance, and repair occupations";805.6;839.2;4.2;49670;"Postsecondary nondegree award";4;2;Low;"Blue-collar";Stable;"TRUE"
"Bus and truck mechanics and diesel engine specialists";49-3031;49;"Installation, maintenance, and repair occupations";319.9;327.7;2.4;60640;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Farm equipment mechanics and service technicians";49-3041;49;"Installation, maintenance, and repair occupations";39;43.3;11;52080;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Mobile heavy equipment mechanics, except engines";49-3042;49;"Installation, maintenance, and repair occupations";188.7;199.6;5.8;63980;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Rail car repairers";49-3043;49;"Installation, maintenance, and repair occupations";17.9;18.4;2.8;65680;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Motorboat mechanics and service technicians";49-3051;49;"Installation, maintenance, and repair occupations";26.2;27.8;6;54950;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Motorcycle mechanics";49-3052;49;"Installation, maintenance, and repair occupations";14.9;15.7;5.3;47200;"Postsecondary nondegree award";4;2;Low;"Blue-collar";"Growing";"TRUE"
"Outdoor power equipment and other small engine mechanics";49-3053;49;"Installation, maintenance, and repair occupations";36.9;37.8;2.5;46560;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Bicycle repairers";49-3091;49;"Installation, maintenance, and repair occupations";13.2;12.9;-2.3;40360;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"Recreational vehicle service technicians";49-3092;49;"Installation, maintenance, and repair occupations";19.5;21.7;11.5;50540;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Tire repairers and changers";49-3093;49;"Installation, maintenance, and repair occupations";113.4;119.9;5.7;37120;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Mechanical door repairers";49-9011;49;"Installation, maintenance, and repair occupations";28.4;31.7;11.4;51050;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Control and valve installers and repairers, except mechanical door";49-9012;49;"Installation, maintenance, and repair occupations";47.7;48.3;1.3;74690;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Heating, air conditioning, and refrigeration mechanics and installers";49-9021;49;"Installation, maintenance, and repair occupations";425.2;459.7;8.1;59810;"Postsecondary nondegree award";4;2;Low;"Blue-collar";"Growing";"TRUE"
"Home appliance repairers";49-9031;49;"Installation, maintenance, and repair occupations";37.3;38.3;2.6;49410;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Industrial machinery mechanics";49-9041;49;"Installation, maintenance, and repair occupations";439.6;510.3;16.1;63760;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Maintenance workers, machinery";49-9043;49;"Installation, maintenance, and repair occupations";57.5;55.9;-2.8;60500;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"Millwrights";49-9044;49;"Installation, maintenance, and repair occupations";41.3;41.3;0;65170;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Refractory materials repairers, except brickmasons";49-9045;49;"Installation, maintenance, and repair occupations";1.1;0.9;-16.9;58540;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Declining";FALSE
"Electrical power-line installers and repairers";49-9051;49;"Installation, maintenance, and repair occupations";127.4;135.8;6.6;92560;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Telecommunications line installers and repairers";49-9052;49;"Installation, maintenance, and repair occupations";99.9;96.8;-3.1;70500;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"Camera and photographic equipment repairers";49-9061;49;"Installation, maintenance, and repair occupations";2.3;1.9;-15.1;49300;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Declining";FALSE
"Medical equipment repairers";49-9062;49;"Installation, maintenance, and repair occupations";68;76.8;12.9;62630;"Associate's degree";5;2;Low;"Blue-collar";"Growing";"TRUE"
"Musical instrument repairers and tuners";49-9063;49;"Installation, maintenance, and repair occupations";6.2;6.3;1.4;45320;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Watch and clock repairers";49-9064;49;"Installation, maintenance, and repair occupations";1.4;1.4;-1.1;60690;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"Precision instrument and equipment repairers, all other";49-9069;49;"Installation, maintenance, and repair occupations";10.8;11;2;67080;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Maintenance and repair workers, general";49-9071;49;"Installation, maintenance, and repair occupations";1629.7;1692.1;3.8;48620;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Wind turbine service technicians";49-9081;49;"Installation, maintenance, and repair occupations";13.6;20.5;49.9;62580;"Postsecondary nondegree award";4;2;Low;"Blue-collar";"Growing";"TRUE"
"Coin, vending, and amusement machine servicers and repairers";49-9091;49;"Installation, maintenance, and repair occupations";32.5;31.6;-2.9;47350;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;FALSE
"Commercial divers";49-9092;49;"Installation, maintenance, and repair occupations";4.2;4.5;8.5;61130;"Postsecondary nondegree award";4;2;Low;"Blue-collar";"Growing";"TRUE"
"Locksmiths and safe repairers";49-9094;49;"Installation, maintenance, and repair occupations";18.8;17.2;-8.3;50490;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Declining";FALSE
"Manufactured building and mobile home installers";49-9095;49;"Installation, maintenance, and repair occupations";3.1;3.3;5.9;41080;"High school diploma or equivalent";2;2;Low;"Blue-collar";"Growing";"TRUE"
"Riggers";49-9096;49;"Installation, maintenance, and repair occupations";24.6;25.4;3.2;62060;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Signal and track switch repairers";49-9097;49;"Installation, maintenance, and repair occupations";8.7;8.8;1.7;83600;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Helpers--installation, maintenance, and repair workers";49-9098;49;"Installation, maintenance, and repair occupations";98.7;101;2.3;38860;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"Installation, maintenance, and repair workers, all other";49-9099;49;"Installation, maintenance, and repair occupations";221.2;226.5;2.4;48640;"High school diploma or equivalent";2;2;Low;"Blue-collar";Stable;"TRUE"
"First-line supervisors of production and operating workers";51-1011;51;"Production occupations";698.6;706.9;1.2;71190;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Aircraft structure, surfaces, rigging, and systems assemblers";51-2011;51;"Production occupations";33.6;28.7;-14.5;61680;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Coil winders, tapers, and finishers";51-2021;51;"Production occupations";12.2;11.5;-6.3;47260;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers";51-2028;51;"Production occupations";261.4;273.3;4.6;44040;"High school diploma or equivalent";2;4;Medium;"Blue-collar";Stable;"TRUE"
"Engine and other machine assemblers";51-2031;51;"Production occupations";38.4;30.3;-21.1;52540;"High school diploma or equivalent";2;4;Medium;"Blue-collar";"Declining";FALSE
